TaxpayerId,FullName,INN,TotalIncome,TotalTransactions,TotalTax
1,Антонова Вениамин Адрианович,100000000000,451399.62,221.28334,22773.299
2,Селезнева Кир Демьянович,100000000001,641545.75,305.41867,31621.727
3,Третьяков Вышеслав Оскаровна,100000000002,383249.38,202.0569,20080.914
4,Ершов Евпраксия Павловна,100000000003,363349.7,186.6534,15550.753
5,Константинова Трифон Афанасьевич,100000000004,377451.47,181.505,16471.076
6,Ершова Панфил Александрович,100000000005,747524.44,354.43518,36438.008
7,Семенов Вадим Григорьевич,100000000006,341128.84,168.75314,16851.68
8,Абрамов Силантий Викторовна,100000000007,333737.66,167.52193,15888.554
9,Зайцев Феликс Герасимович,100000000008,362443.44,167.10008,17501.365
10,Панова Анна Михайловна,100000000009,645987.3,312.20663,30893.508
11,Андреева Панкрат Гурьевич,100000000010,516090.1,253.98155,25776.49
12,Самсонов Харитон Елисеевич,100000000011,400597.6,194.61325,19676.123
13,Носкова Аверьян Романовна,100000000012,549748.7,277.41763,26028.482
14,Калашникова Гордей Матвеевна,100000000013,473062.03,239.19705,21528.568
15,Сазонов Матвей Елисеевич,100000000014,699745.6,340.2224,36681.746
16,Никифоров Ермолай Рудольфовна,100000000015,403218.6,200.33891,18610.174
17,Муравьев Варфоломей Бенедиктович,100000000016,484699.88,222.04977,24383.395
18,Мишин Валерий Ильясович,100000000017,593736.56,286.3574,27026.475
19,Терентьева Мечислав Викторовна,100000000018,395524.5,209.47063,21895.031
20,Лобанов Аникей Николаевна,100000000019,559219.3,276.01852,28355.121
21,Русаков Терентий Валерьевич,100000000020,452366.44,218.23715,23090.352
22,Лыткина Наркис Артурович,100000000021,844553.3,386.7969,41141.266
23,Гусева Куприян Яковлевна,100000000022,429695.94,197.72035,20391.307
24,Матвеева Ян Иосипович,100000000023,277442.28,157.70029,16297.449
25,Борисова Евдоким Максимовна,100000000024,380902.75,198.77501,20477.994
26,Кудрявцев Аникита Ильинична,100000000025,824116.75,382.2586,39832.02
27,Панов Фаина Ермолаевич,100000000026,303977.6,148.89738,13718.398
28,Яковлев Игорь Бориславович,100000000027,519017.25,270.3164,26747.412
29,Мишин Клавдий Филиппович,100000000028,401551.56,196.48796,19676.123
30,Анисимова Михаил Владиславович,100000000029,400597.6,194.61325,19676.123
31,Гришин Мина Глебович,100000000030,634758.94,303.78763,30742.42
32,Громова Карл Михайловна,100000000031,474113.62,228.7753,23370.662
33,Самсонова Елена Ждановна,100000000032,569046.0,292.97012,30120.633
34,Баранов Ювеналий Евгеньевна,100000000033,390433.28,211.41823,21599.74
35,Александров Творимир Николаевна,100000000034,441323.75,228.12006,23679.281
36,Емельянов Гремислав Фомич,100000000035,730397.56,349.4237,35476.88
37,Мишин Касьян Егоровна,100000000036,395524.5,209.47063,21895.031
38,Власова Федосий Гурьевич,100000000037,517886.5,244.52783,24795.91
39,Карпова Любосмысл Святославовна,100000000038,420421.38,192.14075,21849.916
40,Игнатьева Аполлон Давыдович,100000000039,350478.72,170.62952,16429.533
41,Харитонова Амос Филипповна,100000000040,390194.4,197.70255,20711.191
42,Евдокимов Олег Евстигнеевич,100000000041,277442.28,157.70029,16297.449
43,Титов Еремей Болеславовна,100000000042,380893.88,185.93796,16730.15
44,Носова Майя Жанович,100000000043,333737.66,167.52193,15888.554
45,Родионов Валерия Эдуардович,100000000044,387198.56,194.218,19750.074
46,Вишняков Ангелина Фокич,100000000045,529865.44,258.9551,23067.191
47,Дмитриев Капитон Викентьевич,100000000046,441504.7,229.82884,23752.11
48,Горшков Олимпиада Артемовна,100000000047,400597.6,194.61325,19676.123
49,Комарова Каллистрат Робертовна,100000000048,549748.7,277.41763,26028.482
50,Григорьева Пахом Владимировна,100000000049,474113.62,228.7753,23370.662
51,Лаврентьев Митофан Гурьевич,100000000050,653941.44,302.98004,32950.598
52,Егоров Симон Эдгарович,100000000051,441323.75,228.12006,23752.11
53,Королев Раиса Анисимович,100000000052,341259.7,184.21935,20094.871
54,Кононова Венедикт Витальевич,100000000053,602850.25,305.37268,31026.379
55,Матвеева Гордей Тимофеевна,100000000054,964492.75,449.38098,48099.04
56,Блинова Панфил Владиславовна,100000000055,504476.47,257.5357,26719.525
57,Гусев Никандр Тарасович,100000000056,351380.47,186.20439,18717.697
58,Рябова Руслан Архиповна,100000000057,363349.7,186.6534,15550.753
59,Овчинников Фадей Августович,100000000058,390194.4,197.70255,20711.191
60,Блинова Марина Валентинович,100000000059,279014.53,136.39034,14734.159
61,Колесникова Терентий Рубеновна,100000000060,820916.8,381.748,40319.508
62,Лукин Татьяна Ефимовна,100000000061,364537.66,184.93817,15822.139
63,Федосеев Вениамин Ерофеевич,100000000062,751093.6,347.39697,35664.305
64,Беспалов Глеб Филиппович,100000000063,454988.56,237.5759,23634.719
65,Иванов Марина Ниловна,100000000064,486008.2,224.22688,24328.49
66,Назаров Сидор Рудольфовна,100000000065,441323.75,228.12006,23752.11
67,Ефимов Сильвестр Борисович,100000000066,549748.7,277.41763,26028.482
68,Фадеева Ярослав Ефимович,100000000067,464361.2,241.99016,25234.73
69,Крюкова Алла Юльевич,100000000068,699745.6,340.2224,36681.746
70,Журавлева Евстафий Витальевич,100000000069,403218.6,200.33891,18610.174
71,Дементьев София Владиславович,100000000070,515909.16,253.3026,25831.396
72,Орлова Элеонора Архиповна,100000000071,602850.25,305.37268,31026.379
73,Самойлова Август Валериевна,100000000072,522117.56,248.82172,26933.031
74,Юдин Селиван Аверьянович,100000000073,559219.3,276.01852,28355.121
75,Цветков Митофан Яковлевна,100000000074,348967.88,167.3524,17084.744
76,Кабанова Леон Демидович,100000000075,363349.7,186.6534,15550.753
77,Андреев Иларион Болеславовна,100000000076,344553.2,186.73755,19515.758
78,Фомичева Богдан Архипович,100000000077,304897.72,155.02573,12992.594
79,Мартынова Святослав Эдуардовна,100000000078,306890.1,170.20515,17842.969
80,Кудрявцев Синклитикия Алексеевна,100000000079,402947.2,190.07991,19628.21
81,Наумова Владлен Валерьянович,100000000080,253398.28,132.75745,15351.94
82,Александрова Савелий Аркадьевна,100000000081,1089436.2,492.9201,53337.21
83,Суханов Капитон Архиповна,100000000082,441504.7,229.82884,23752.11
84,Комиссарова Эрнст Федосьевич,100000000083,910053.4,418.5884,45678.312
85,Селиверстова Еремей Аскольдовна,100000000084,549748.7,277.41763,26028.482
86,Лукина Надежда Львовна,100000000085,519926.75,261.81836,27931.377
87,Власов Любовь Ефстафьевич,100000000086,653941.44,302.98004,32950.598
88,Лаврентьев Дарья Захаровна,100000000087,484699.88,222.04977,24328.49
89,Дементьев Порфирий Ярославович,100000000088,390433.28,211.41823,21654.645
90,Лихачев Виссарион Денисович,100000000089,593736.56,286.3574,27026.475
91,Савельев Арсений Игоревич,100000000090,964492.75,449.38098,48099.04
92,Волков Харитон Афанасьевна,100000000091,441920.56,227.83018,24662.166
93,Рыбаков Харитон Гурьевич,100000000092,348967.88,167.3524,17084.744
94,Попов Аскольд Мироновна,100000000093,452025.12,227.84439,21142.732
95,Дмитриева Аристарх Давыдович,100000000094,352597.97,168.88765,16567.451
96,Кузьмин Амос Игнатович,100000000095,747524.44,354.43518,36438.008
97,Баранов Софон Данилович,100000000096,820916.8,381.748,40319.508
98,Наумов Глафира Чеславович,100000000097,402947.2,190.07991,19628.21
99,Котов Тимур Васильевич,100000000098,291059.6,141.37778,14517.019
100,Воронова Филимон Вадимовна,100000000099,600657.4,280.94797,28708.387
101,Блохин Илья Станиславовна,100000000100,486008.2,224.22688,24328.49
102,Блохин Орест Геннадиевич,100000000101,341259.7,184.21935,20039.967
103,Пономарев Валерий Игоревна,100000000102,578242.4,306.93646,32177.545
104,Самойлов Мина Федосьевич,100000000103,587994.94,287.46463,29531.338
105,Бирюков Руслан Николаевна,100000000104,583230.6,278.08124,28839.438
106,Киселев Евгения Ивановна,100000000105,441323.75,228.12006,23752.11
107,Веселова Валерьян Ануфриевич,100000000106,390433.28,211.41823,21654.645
108,Константинов Милица Игоревич,100000000107,606961.4,288.88617,29208.467
109,Ефремова Велимир Денисович,100000000108,496364.22,254.35638,27767.916
110,Блинов Евграф Антоновна,100000000109,595381.56,272.55786,28808.049
111,Самсонов Вышеслав Федосьевич,100000000110,839368.25,382.04834,40998.0
112,Громов Клавдий Фомич,100000000111,313092.22,166.4273,19350.248
113,Чернов Афиноген Феофанович,100000000112,451873.88,219.57736,21578.885
114,Кабанова Ульян Бориславович,100000000113,317467.44,167.80782,15506.626
115,Комаров Антонина Аскольдовна,100000000114,820916.8,381.748,40319.508
116,Игнатова Агафон Бенедиктович,100000000115,333737.66,167.52193,15888.554
117,Шашкова Прасковья Данилович,100000000116,323552.06,171.96869,16276.471
118,Миронов Орест Чеславович,100000000117,529865.44,258.9551,23067.191
119,Силин Ермил Трифонович,100000000118,910234.3,419.9834,45678.312
120,Никонова Аристарх Владленович,100000000119,390433.28,211.41823,21599.74
121,Мишин Авдей Терентьевич,100000000120,1194256.5,521.53467,59070.535
122,Лобанов Радован Ермилович,100000000121,587994.94,287.46463,29531.338
123,Сазонов Ирина Олеговна,100000000122,569046.0,292.97012,30120.633
124,Капустина Федор Ильинична,100000000123,341259.7,184.21935,20039.967
125,Рыбакова Севастьян Витальевич,100000000124,515909.16,253.3026,25831.396
126,Щербаков Лавр Григорьевич,100000000125,606961.4,288.88617,29208.467
127,Кондратьева Арефий Васильевна,100000000126,451328.53,236.70114,24043.342
128,Горшкова Тит Ануфриевич,100000000127,559219.3,276.01852,28355.121
129,Михеева Лонгин Антонович,100000000128,381370.56,184.59793,17290.209
130,Комаров Фотий Харлампович,100000000129,452025.12,227.84439,21142.732
131,Новикова Тарас Владиленович,100000000130,377451.47,181.505,16471.076
132,Андреев Симон Артурович,100000000131,279014.53,136.39034,14734.159
133,Владимирова Дорофей Арсеньевич,100000000132,341128.84,168.75314,16851.68
134,Соболева Артем Константиновна,100000000133,306019.84,166.26706,17658.78
135,Дементьева Измаил Трофимович,100000000134,291059.6,141.37778,14517.019
136,Журавлев Филарет Денисович,100000000135,1089436.2,492.9201,53337.21
137,Королева Чеслав Анатольевич,100000000136,910234.3,419.9834,45678.312
138,Белоусова Болеслав Федосеевич,100000000137,341259.7,184.21935,20039.967
139,Ширяева Фортунат Богдановна,100000000138,1194256.5,521.53467,59070.535
140,Виноградова Лука Дорофеевич,100000000139,519926.75,261.81836,27931.377
141,Исаков Глафира Никифоровна,100000000140,653941.44,302.98004,32950.598
142,Исаев Изяслав Евсеевич,100000000141,403218.6,200.33891,18610.174
143,Вишняков Влас Кузьминична,100000000142,403218.6,200.33891,18665.078
144,Веселова Ладимир Фокич,100000000143,646308.25,321.74756,33378.06
145,Евдокимов Полина Артёмович,100000000144,522117.56,248.82172,26933.031
146,Соколов Ратмир Григорьевна,100000000145,504476.47,257.5357,26719.525
147,Алексеева Варлаам Артёмович,100000000146,322486.84,165.87923,19287.115
148,Комарова Ермил Юльевич,100000000147,313092.22,166.4273,19350.248
149,Лобанов Влас Иларионович,100000000148,352597.97,168.88765,16567.451
150,Устинова Архип Демьянович,100000000149,304897.72,155.02573,12992.594
